
0,bin#1,1,15,24

0,bin#2,3,48,24

0,bin#3,8,1,24

0,bin#4,1,41,24

0,bin#5,8,3,24

0,bin#6,6,7,24

0,bin#7,3,50,24

0,bin#8,2,26,24

0,bin#9,6,14,24

0,bin#10,3,33,24

0,bin#11,8,50,24

0,bin#12,7,33,24

0,bin#13,10,13,24

0,bin#14,1,5,24

0,bin#15,5,7,24

0,bin#16,8,29,24

0,bin#17,6,39,24

0,bin#18,9,36,24

0,bin#19,1,9,24

0,bin#20,3,50,24

0,bin#21,7,12,24

0,bin#22,7,30,24

0,bin#23,4,28,24

0,bin#24,3,19,24

0,bin#25,3,21,24

0,bin#26,1,15,24

0,bin#27,9,15,24

0,bin#28,7,30,24

0,bin#29,1,10,24

0,bin#30,6,25,24

0,bin#31,9,46,24

0,bin#32,10,33,24

0,bin#33,8,16,24

0,bin#34,9,13,24

0,bin#35,5,46,24

0,bin#36,10,32,24

0,bin#37,10,26,24

0,bin#38,3,18,24

0,bin#39,2,15,24

0,bin#40,5,46,24

5,bin#1,1,5,24.0

5,bin#2,3,15,24.0

5,bin#3,8,40,24.0

5,bin#4,1,5,24.0

5,bin#5,8,40,24.0

5,bin#6,6,30,24.0

5,bin#7,3,15,24.0

5,bin#8,2,10,24.0

5,bin#9,6,30,24.0

5,bin#10,3,15,24.0

5,bin#11,8,40,24.0

5,bin#12,7,35,24.0

5,bin#13,10,50,24.0

5,bin#14,1,5,24.0

5,bin#15,5,25,24.0

5,bin#16,8,40,24.0

5,bin#17,6,30,24.0

5,bin#18,9,45,24.0

5,bin#19,1,5,24.0

5,bin#20,3,15,24.0

5,bin#21,7,35,24.0

5,bin#22,7,35,24.0

5,bin#23,4,20,24.0

5,bin#24,3,15,24.0

5,bin#25,3,15,24.0

5,bin#26,1,5,24.0

5,bin#27,9,45,24.0

5,bin#28,7,35,24.0

5,bin#29,1,5,24.0

5,bin#30,6,30,24.0

5,bin#31,9,45,24.0

5,bin#32,10,50,24.0

5,bin#33,8,40,24.0

5,bin#34,9,45,24.0

5,bin#35,5,25,24.0

5,bin#36,10,50,24.0

5,bin#37,10,50,24.0

5,bin#38,3,15,24.0

5,bin#39,2,10,24.0

5,bin#40,5,25,24.0

10,bin#1,1,5,24.0

10,bin#2,3,15,24.0

10,bin#3,8,40,24.0

10,bin#4,1,5,24.0

10,bin#5,8,40,24.0

