iteration,bin id,filling rate,leveltime since last pick up
0,bin#2,3,48,24
0,bin#4,1,41,24
0,bin#7,3,50,24
0,bin#8,2,26,24
0,bin#10,3,33,24
0,bin#11,8,50,24
0,bin#12,7,33,24
0,bin#16,8,29,24
0,bin#17,6,39,24
0,bin#18,9,36,24
0,bin#20,3,50,24
0,bin#22,7,30,24
0,bin#23,4,28,24
0,bin#28,7,30,24
0,bin#31,9,46,24
0,bin#32,10,33,24
0,bin#35,5,46,24
0,bin#36,10,32,24
0,bin#37,10,26,24
0,bin#40,5,46,24
5,bin#3,8,41,47.99999999999999
5,bin#5,8,43,47.99999999999999
5,bin#6,6,37,47.99999999999999
5,bin#9,6,44,47.99999999999999
5,bin#11,8,40,24.0
5,bin#12,7,35,24.0
5,bin#13,10,50,47.99999999999999
5,bin#15,5,32,47.99999999999999
5,bin#16,8,40,24.0
5,bin#17,6,30,24.0
5,bin#18,9,45,24.0
5,bin#21,7,47,47.99999999999999
5,bin#22,7,35,24.0
5,bin#24,3,34,47.99999999999999
5,bin#25,3,36,47.99999999999999
5,bin#27,9,50,47.99999999999999
5,bin#28,7,35,24.0
5,bin#30,6,50,47.99999999999999
5,bin#31,9,45,24.0
5,bin#32,10,50,24.0
5,bin#33,8,50,47.99999999999999
5,bin#34,9,50,47.99999999999999
5,bin#36,10,50,24.0
5,bin#37,10,50,24.0
5,bin#38,3,33,47.99999999999999
10,bin#2,3,30,47.99999999999999
10,bin#3,8,40,24.0
10,bin#5,8,40,24.0
10,bin#6,6,30,24.0
10,bin#7,3,30,47.99999999999999
10,bin#9,6,30,24.0
10,bin#10,3,30,47.99999999999999
10,bin#11,8,40,24.0
10,bin#12,7,35,24.0
10,bin#13,10,50,24.0
10,bin#16,8,40,24.0
10,bin#17,6,30,24.0
10,bin#18,9,45,24.0
10,bin#20,3,30,47.99999999999999
10,bin#21,7,35,24.0
10,bin#22,7,35,24.0
10,bin#23,4,40,47.99999999999999
10,bin#27,9,45,24.0
10,bin#28,7,35,24.0
10,bin#30,6,30,24.0
10,bin#31,9,45,24.0
10,bin#32,10,50,24.0
10,bin#33,8,40,24.0
10,bin#34,9,45,24.0
10,bin#35,5,50,47.99999999999999
10,bin#36,10,50,24.0
10,bin#37,10,50,24.0
10,bin#39,2,35,71.99999999999999
10,bin#40,5,50,47.99999999999999
15,bin#1,1,30,95.99999999999997
15,bin#3,8,40,24.0
15,bin#5,8,40,24.0
15,bin#6,6,30,24.0
15,bin#8,2,30,71.99999999999999
15,bin#9,6,30,24.0
15,bin#11,8,40,24.0
15,bin#12,7,35,24.0
15,bin#13,10,50,24.0
15,bin#15,5,50,47.99999999999999
15,bin#16,8,40,24.0
15,bin#17,6,30,24.0
15,bin#18,9,45,24.0
15,bin#21,7,35,24.0
15,bin#22,7,35,24.0
15,bin#24,3,30,47.99999999999999
15,bin#25,3,30,47.99999999999999
15,bin#26,1,30,95.99999999999997
15,bin#27,9,45,24.0
15,bin#28,7,35,24.0
15,bin#30,6,30,24.0
15,bin#31,9,45,24.0
15,bin#32,10,50,24.0
15,bin#33,8,40,24.0
15,bin#34,9,45,24.0
15,bin#36,10,50,24.0
15,bin#37,10,50,24.0
15,bin#38,3,30,47.99999999999999
20,bin#2,3,30,47.99999999999999
20,bin#3,8,40,24.0
20,bin#5,8,40,24.0
20,bin#6,6,30,24.0
20,bin#7,3,30,47.99999999999999
20,bin#9,6,30,24.0
20,bin#10,3,30,47.99999999999999
20,bin#11,8,40,24.0
20,bin#12,7,35,24.0
20,bin#13,10,50,24.0
20,bin#16,8,40,24.0
20,bin#17,6,30,24.0
20,bin#18,9,45,24.0
20,bin#19,1,29,119.99999999999996
20,bin#20,3,30,47.99999999999999
20,bin#21,7,35,24.0
20,bin#22,7,35,24.0
20,bin#23,4,40,47.99999999999999
20,bin#27,9,45,24.0
20,bin#28,7,35,24.0
20,bin#29,1,30,119.99999999999996
20,bin#30,6,30,24.0
20,bin#31,9,45,24.0
20,bin#32,10,50,24.0
20,bin#33,8,40,24.0
20,bin#34,9,45,24.0
20,bin#35,5,50,47.99999999999999
20,bin#36,10,50,24.0
20,bin#37,10,50,24.0
20,bin#40,5,50,47.99999999999999
