iteration,bin id,filling rate,leveltime since last pick up
0,bin#2,3,48,24
0,bin#4,1,41,24
0,bin#7,3,50,24
0,bin#11,8,50,24
0,bin#17,6,39,24
0,bin#20,3,50,24
0,bin#31,9,46,24
0,bin#35,5,46,24
0,bin#40,5,46,24
5,bin#3,8,41,47.99999999999999
5,bin#5,8,43,47.99999999999999
5,bin#9,6,44,47.99999999999999
5,bin#10,3,48,47.99999999999999
5,bin#11,8,40,24.0
5,bin#12,7,50,47.99999999999999
5,bin#13,10,50,47.99999999999999
5,bin#16,8,50,47.99999999999999
5,bin#18,9,50,47.99999999999999
5,bin#21,7,47,47.99999999999999
5,bin#22,7,50,47.99999999999999
5,bin#23,4,48,47.99999999999999
5,bin#27,9,50,47.99999999999999
5,bin#28,7,50,47.99999999999999
5,bin#30,6,50,47.99999999999999
5,bin#31,9,45,24.0
5,bin#32,10,50,47.99999999999999
5,bin#33,8,50,47.99999999999999
5,bin#34,9,50,47.99999999999999
5,bin#36,10,50,47.99999999999999
5,bin#37,10,50,47.99999999999999
10,bin#3,8,40,24.0
10,bin#5,8,40,24.0
10,bin#6,6,50,71.99999999999999
10,bin#8,2,46,71.99999999999999
10,bin#11,8,40,24.0
10,bin#13,10,50,24.0
10,bin#15,5,50,71.99999999999999
10,bin#16,8,40,24.0
10,bin#17,6,50,47.99999999999999
10,bin#18,9,45,24.0
10,bin#24,3,49,71.99999999999999
10,bin#25,3,50,71.99999999999999
10,bin#27,9,45,24.0
10,bin#31,9,45,24.0
10,bin#32,10,50,24.0
10,bin#33,8,40,24.0
10,bin#34,9,45,24.0
10,bin#35,5,50,47.99999999999999
10,bin#36,10,50,24.0
10,bin#37,10,50,24.0
10,bin#38,3,48,71.99999999999999
10,bin#40,5,50,47.99999999999999
15,bin#2,3,45,71.99999999999999
15,bin#3,8,40,24.0
15,bin#5,8,40,24.0
15,bin#7,3,45,71.99999999999999
15,bin#9,6,50,47.99999999999999
15,bin#11,8,40,24.0
15,bin#12,7,50,47.99999999999999
15,bin#13,10,50,24.0
15,bin#16,8,40,24.0
15,bin#18,9,45,24.0
15,bin#20,3,45,71.99999999999999
15,bin#21,7,50,47.99999999999999
15,bin#22,7,50,47.99999999999999
15,bin#23,4,40,47.99999999999999
15,bin#27,9,45,24.0
15,bin#28,7,50,47.99999999999999
15,bin#30,6,50,47.99999999999999
15,bin#31,9,45,24.0
15,bin#32,10,50,24.0
15,bin#33,8,40,24.0
15,bin#34,9,45,24.0
15,bin#36,10,50,24.0
15,bin#37,10,50,24.0
15,bin#39,2,45,95.99999999999997
20,bin#3,8,40,24.0
20,bin#5,8,40,24.0
20,bin#6,6,50,47.99999999999999
20,bin#10,3,45,71.99999999999999
20,bin#11,8,40,24.0
20,bin#13,10,50,24.0
20,bin#15,5,50,47.99999999999999
20,bin#16,8,40,24.0
20,bin#17,6,50,47.99999999999999
20,bin#18,9,45,24.0
20,bin#27,9,45,24.0
20,bin#31,9,45,24.0
20,bin#32,10,50,24.0
20,bin#33,8,40,24.0
20,bin#34,9,45,24.0
20,bin#35,5,50,47.99999999999999
20,bin#36,10,50,24.0
20,bin#37,10,50,24.0
20,bin#40,5,50,47.99999999999999
