iteration,bin id,filling rate,leveltime since last pick up
0,bin#7,3,50,24
0,bin#11,8,50,24
0,bin#20,3,50,24
5,bin#2,3,50,47.99999999999999
5,bin#12,7,50,47.99999999999999
5,bin#13,10,50,47.99999999999999
5,bin#16,8,50,47.99999999999999
5,bin#17,6,50,47.99999999999999
5,bin#18,9,50,47.99999999999999
5,bin#22,7,50,47.99999999999999
5,bin#27,9,50,47.99999999999999
5,bin#28,7,50,47.99999999999999
5,bin#30,6,50,47.99999999999999
5,bin#31,9,50,47.99999999999999
5,bin#32,10,50,47.99999999999999
5,bin#33,8,50,47.99999999999999
5,bin#34,9,50,47.99999999999999
5,bin#35,5,50,47.99999999999999
5,bin#36,10,50,47.99999999999999
5,bin#37,10,50,47.99999999999999
5,bin#40,5,50,47.99999999999999
10,bin#3,8,50,71.99999999999999
10,bin#4,1,50,71.99999999999999
10,bin#5,8,50,71.99999999999999
10,bin#6,6,50,71.99999999999999
10,bin#9,6,50,71.99999999999999
10,bin#10,3,50,71.99999999999999
10,bin#11,8,50,47.99999999999999
10,bin#13,10,50,24.0
10,bin#15,5,50,71.99999999999999
10,bin#21,7,50,71.99999999999999
10,bin#23,4,50,71.99999999999999
10,bin#25,3,50,71.99999999999999
10,bin#32,10,50,24.0
10,bin#36,10,50,24.0
10,bin#37,10,50,24.0
15,bin#8,2,50,95.99999999999997
15,bin#12,7,50,47.99999999999999
15,bin#13,10,50,24.0
15,bin#16,8,50,47.99999999999999
15,bin#17,6,50,47.99999999999999
15,bin#18,9,50,47.99999999999999
15,bin#22,7,50,47.99999999999999
15,bin#24,3,50,95.99999999999997
15,bin#27,9,50,47.99999999999999
15,bin#28,7,50,47.99999999999999
15,bin#30,6,50,47.99999999999999
15,bin#31,9,50,47.99999999999999
15,bin#32,10,50,24.0
15,bin#33,8,50,47.99999999999999
15,bin#34,9,50,47.99999999999999
15,bin#35,5,50,47.99999999999999
15,bin#36,10,50,24.0
15,bin#37,10,50,24.0
15,bin#38,3,50,95.99999999999997
15,bin#40,5,50,47.99999999999999
20,bin#3,8,50,47.99999999999999
20,bin#5,8,50,47.99999999999999
20,bin#6,6,50,47.99999999999999
20,bin#7,3,50,95.99999999999997
20,bin#9,6,50,47.99999999999999
20,bin#11,8,50,47.99999999999999
20,bin#13,10,50,24.0
20,bin#15,5,50,47.99999999999999
20,bin#20,3,50,95.99999999999997
20,bin#21,7,50,47.99999999999999
20,bin#32,10,50,24.0
20,bin#36,10,50,24.0
20,bin#37,10,50,24.0
20,bin#39,2,50,119.99999999999996
