iteration,bin id,filling rate,leveltime since last pick up
0,bin#1,6,40,24
0,bin#4,6,20,24
0,bin#5,2,21,24
0,bin#6,7,40,24
0,bin#7,10,21,24
0,bin#8,4,21,24
0,bin#10,10,29,24
0,bin#11,10,13,24
0,bin#12,2,26,24
0,bin#13,9,31,24
0,bin#14,9,43,24
0,bin#15,10,33,24
0,bin#16,6,48,24
0,bin#17,1,22,24
0,bin#18,7,30,24
0,bin#19,3,46,24
0,bin#21,2,41,24
0,bin#22,9,26,24
0,bin#23,7,49,24
0,bin#24,2,25,24
0,bin#25,1,49,24
0,bin#26,8,42,24
0,bin#27,5,20,24
0,bin#28,9,31,24
0,bin#29,3,27,24
0,bin#33,1,15,24
0,bin#35,6,34,24
0,bin#36,1,33,24
0,bin#38,6,24,24
5,bin#1,6,30,24.0
5,bin#2,6,35,47.99999999999999
5,bin#3,2,19,47.99999999999999
5,bin#4,6,30,24.0
5,bin#6,7,35,24.0
5,bin#7,10,50,24.0
5,bin#8,4,20,24.0
5,bin#9,2,22,47.99999999999999
5,bin#10,10,50,24.0
5,bin#11,10,50,24.0
5,bin#13,9,45,24.0
5,bin#14,9,45,24.0
5,bin#15,10,50,24.0
5,bin#16,6,30,24.0
5,bin#18,7,35,24.0
5,bin#19,3,15,24.0
5,bin#20,6,32,47.99999999999999
5,bin#22,9,45,24.0
5,bin#23,7,35,24.0
5,bin#26,8,40,24.0
5,bin#27,5,25,24.0
5,bin#28,9,45,24.0
5,bin#29,3,15,24.0
5,bin#31,1,14,47.99999999999999
5,bin#32,6,31,47.99999999999999
5,bin#34,10,50,47.99999999999999
5,bin#35,6,30,24.0
5,bin#37,6,32,47.99999999999999
5,bin#38,6,30,24.0
5,bin#39,9,50,47.99999999999999
10,bin#1,6,30,24.0
10,bin#2,6,30,24.0
10,bin#4,6,30,24.0
10,bin#5,2,20,47.99999999999999
10,bin#6,7,35,24.0
10,bin#7,10,50,24.0
10,bin#8,4,20,24.0
10,bin#10,10,50,24.0
10,bin#11,10,50,24.0
10,bin#12,2,20,47.99999999999999
10,bin#13,9,45,24.0
10,bin#14,9,45,24.0
10,bin#15,10,50,24.0
10,bin#16,6,30,24.0
10,bin#18,7,35,24.0
10,bin#19,3,15,24.0
10,bin#20,6,30,24.0
10,bin#21,2,20,47.99999999999999
10,bin#22,9,45,24.0
10,bin#23,7,35,24.0
10,bin#24,2,20,47.99999999999999
10,bin#26,8,40,24.0
10,bin#27,5,25,24.0
10,bin#28,9,45,24.0
10,bin#29,3,15,24.0
10,bin#30,2,20,71.99999999999999
10,bin#32,6,30,24.0
10,bin#34,10,50,24.0
10,bin#35,6,30,24.0
10,bin#37,6,30,24.0
10,bin#38,6,30,24.0
10,bin#39,9,45,24.0
10,bin#40,2,21,71.99999999999999
15,bin#1,6,30,24.0
15,bin#2,6,30,24.0
15,bin#3,2,20,47.99999999999999
15,bin#4,6,30,24.0
15,bin#6,7,35,24.0
15,bin#7,10,50,24.0
15,bin#8,4,20,24.0
15,bin#9,2,20,47.99999999999999
15,bin#10,10,50,24.0
15,bin#11,10,50,24.0
15,bin#13,9,45,24.0
15,bin#14,9,45,24.0
15,bin#15,10,50,24.0
15,bin#16,6,30,24.0
15,bin#17,1,15,71.99999999999999
15,bin#18,7,35,24.0
15,bin#19,3,15,24.0
15,bin#20,6,30,24.0
15,bin#22,9,45,24.0
15,bin#23,7,35,24.0
15,bin#25,1,15,71.99999999999999
15,bin#26,8,40,24.0
15,bin#27,5,25,24.0
15,bin#28,9,45,24.0
15,bin#29,3,15,24.0
15,bin#32,6,30,24.0
15,bin#33,1,15,71.99999999999999
15,bin#34,10,50,24.0
15,bin#35,6,30,24.0
15,bin#36,1,15,71.99999999999999
15,bin#37,6,30,24.0
15,bin#38,6,30,24.0
15,bin#39,9,45,24.0
20,bin#1,6,30,24.0
20,bin#2,6,30,24.0
20,bin#4,6,30,24.0
20,bin#5,2,20,47.99999999999999
20,bin#6,7,35,24.0
20,bin#7,10,50,24.0
20,bin#8,4,20,24.0
20,bin#10,10,50,24.0
20,bin#11,10,50,24.0
20,bin#12,2,20,47.99999999999999
20,bin#13,9,45,24.0
20,bin#14,9,45,24.0
20,bin#15,10,50,24.0
20,bin#16,6,30,24.0
20,bin#18,7,35,24.0
20,bin#19,3,15,24.0
20,bin#20,6,30,24.0
20,bin#21,2,20,47.99999999999999
20,bin#22,9,45,24.0
20,bin#23,7,35,24.0
20,bin#24,2,20,47.99999999999999
20,bin#26,8,40,24.0
20,bin#27,5,25,24.0
20,bin#28,9,45,24.0
20,bin#29,3,15,24.0
20,bin#30,2,20,47.99999999999999
20,bin#31,1,15,71.99999999999999
20,bin#32,6,30,24.0
20,bin#34,10,50,24.0
20,bin#35,6,30,24.0
20,bin#37,6,30,24.0
20,bin#38,6,30,24.0
20,bin#39,9,45,24.0
20,bin#40,2,20,47.99999999999999
