iteration,bin id,filling rate,leveltime since last pick up
0,bin#1,6,40,24
0,bin#6,7,40,24
0,bin#14,9,43,24
0,bin#16,6,48,24
0,bin#19,3,46,24
0,bin#21,2,41,24
0,bin#23,7,49,24
0,bin#25,1,49,24
0,bin#26,8,42,24
5,bin#4,6,50,47.99999999999999
5,bin#7,10,50,47.99999999999999
5,bin#8,4,41,47.99999999999999
5,bin#10,10,50,47.99999999999999
5,bin#11,10,50,47.99999999999999
5,bin#13,9,50,47.99999999999999
5,bin#14,9,45,24.0
5,bin#15,10,50,47.99999999999999
5,bin#18,7,50,47.99999999999999
5,bin#22,9,50,47.99999999999999
5,bin#26,8,40,24.0
5,bin#27,5,45,47.99999999999999
5,bin#28,9,50,47.99999999999999
5,bin#29,3,42,47.99999999999999
5,bin#34,10,50,47.99999999999999
5,bin#35,6,50,47.99999999999999
5,bin#36,1,38,47.99999999999999
5,bin#38,6,50,47.99999999999999
5,bin#39,9,50,47.99999999999999
10,bin#1,6,50,47.99999999999999
10,bin#2,6,50,71.99999999999999
10,bin#5,2,41,71.99999999999999
10,bin#6,7,50,47.99999999999999
10,bin#7,10,50,24.0
10,bin#10,10,50,24.0
10,bin#11,10,50,24.0
10,bin#12,2,46,71.99999999999999
10,bin#13,9,45,24.0
10,bin#14,9,45,24.0
10,bin#15,10,50,24.0
10,bin#16,6,50,47.99999999999999
10,bin#20,6,50,71.99999999999999
10,bin#22,9,45,24.0
10,bin#23,7,50,47.99999999999999
10,bin#24,2,45,71.99999999999999
10,bin#26,8,40,24.0
10,bin#28,9,45,24.0
10,bin#32,6,50,71.99999999999999
10,bin#34,10,50,24.0
10,bin#37,6,50,71.99999999999999
10,bin#39,9,45,24.0
15,bin#3,2,39,95.99999999999997
15,bin#4,6,50,47.99999999999999
15,bin#7,10,50,24.0
15,bin#8,4,40,47.99999999999999
15,bin#9,2,42,95.99999999999997
15,bin#10,10,50,24.0
15,bin#11,10,50,24.0
15,bin#13,9,45,24.0
15,bin#14,9,45,24.0
15,bin#15,10,50,24.0
15,bin#18,7,50,47.99999999999999
15,bin#19,3,45,71.99999999999999
15,bin#22,9,45,24.0
15,bin#26,8,40,24.0
15,bin#27,5,50,47.99999999999999
15,bin#28,9,45,24.0
15,bin#34,10,50,24.0
15,bin#35,6,50,47.99999999999999
15,bin#38,6,50,47.99999999999999
15,bin#39,9,45,24.0
20,bin#1,6,50,47.99999999999999
20,bin#2,6,50,47.99999999999999
20,bin#6,7,50,47.99999999999999
20,bin#7,10,50,24.0
20,bin#10,10,50,24.0
20,bin#11,10,50,24.0
20,bin#13,9,45,24.0
20,bin#14,9,45,24.0
20,bin#15,10,50,24.0
20,bin#16,6,50,47.99999999999999
20,bin#17,1,42,119.99999999999996
20,bin#20,6,50,47.99999999999999
20,bin#21,2,40,95.99999999999997
20,bin#22,9,45,24.0
20,bin#23,7,50,47.99999999999999
20,bin#26,8,40,24.0
20,bin#28,9,45,24.0
20,bin#29,3,45,71.99999999999999
20,bin#30,2,40,119.99999999999996
20,bin#32,6,50,47.99999999999999
20,bin#34,10,50,24.0
20,bin#37,6,50,47.99999999999999
20,bin#39,9,45,24.0
20,bin#40,2,41,119.99999999999996
