iteration,bin id,filling rate,leveltime since last pick up
0,bin#1,6,40,24
0,bin#6,7,40,24
0,bin#10,10,29,24
0,bin#12,2,26,24
0,bin#13,9,31,24
0,bin#14,9,43,24
0,bin#15,10,33,24
0,bin#16,6,48,24
0,bin#18,7,30,24
0,bin#19,3,46,24
0,bin#21,2,41,24
0,bin#22,9,26,24
0,bin#23,7,49,24
0,bin#25,1,49,24
0,bin#26,8,42,24
0,bin#28,9,31,24
0,bin#29,3,27,24
0,bin#35,6,34,24
0,bin#36,1,33,24
5,bin#1,6,30,24.0
5,bin#2,6,35,47.99999999999999
5,bin#4,6,50,47.99999999999999
5,bin#5,2,31,47.99999999999999
5,bin#6,7,35,24.0
5,bin#7,10,50,47.99999999999999
5,bin#8,4,41,47.99999999999999
5,bin#10,10,50,24.0
5,bin#11,10,50,47.99999999999999
5,bin#13,9,45,24.0
5,bin#14,9,45,24.0
5,bin#15,10,50,24.0
5,bin#16,6,30,24.0
5,bin#17,1,27,47.99999999999999
5,bin#18,7,35,24.0
5,bin#20,6,32,47.99999999999999
5,bin#22,9,45,24.0
5,bin#23,7,35,24.0
5,bin#24,2,35,47.99999999999999
5,bin#26,8,40,24.0
5,bin#27,5,45,47.99999999999999
5,bin#28,9,45,24.0
5,bin#32,6,31,47.99999999999999
5,bin#34,10,50,47.99999999999999
5,bin#35,6,30,24.0
5,bin#37,6,32,47.99999999999999
5,bin#38,6,50,47.99999999999999
5,bin#39,9,50,47.99999999999999
10,bin#1,6,30,24.0
10,bin#2,6,30,24.0
10,bin#3,2,29,71.99999999999999
10,bin#4,6,30,24.0
10,bin#6,7,35,24.0
10,bin#7,10,50,24.0
10,bin#9,2,32,71.99999999999999
10,bin#10,10,50,24.0
10,bin#11,10,50,24.0
10,bin#13,9,45,24.0
10,bin#14,9,45,24.0
10,bin#15,10,50,24.0
10,bin#16,6,30,24.0
10,bin#18,7,35,24.0
10,bin#19,3,30,47.99999999999999
10,bin#20,6,30,24.0
10,bin#22,9,45,24.0
10,bin#23,7,35,24.0
10,bin#26,8,40,24.0
10,bin#28,9,45,24.0
10,bin#29,3,30,47.99999999999999
10,bin#32,6,30,24.0
10,bin#34,10,50,24.0
10,bin#35,6,30,24.0
10,bin#37,6,30,24.0
10,bin#38,6,30,24.0
10,bin#39,9,45,24.0
15,bin#1,6,30,24.0
15,bin#2,6,30,24.0
15,bin#4,6,30,24.0
15,bin#6,7,35,24.0
15,bin#7,10,50,24.0
15,bin#8,4,40,47.99999999999999
15,bin#10,10,50,24.0
15,bin#11,10,50,24.0
15,bin#12,2,30,71.99999999999999
15,bin#13,9,45,24.0
15,bin#14,9,45,24.0
15,bin#15,10,50,24.0
15,bin#16,6,30,24.0
15,bin#18,7,35,24.0
15,bin#20,6,30,24.0
15,bin#21,2,30,71.99999999999999
15,bin#22,9,45,24.0
15,bin#23,7,35,24.0
15,bin#26,8,40,24.0
15,bin#27,5,50,47.99999999999999
15,bin#28,9,45,24.0
15,bin#30,2,30,95.99999999999997
15,bin#32,6,30,24.0
15,bin#33,1,30,95.99999999999997
15,bin#34,10,50,24.0
15,bin#35,6,30,24.0
15,bin#37,6,30,24.0
15,bin#38,6,30,24.0
15,bin#39,9,45,24.0
15,bin#40,2,31,95.99999999999997
20,bin#1,6,30,24.0
20,bin#2,6,30,24.0
20,bin#4,6,30,24.0
20,bin#5,2,30,71.99999999999999
20,bin#6,7,35,24.0
20,bin#7,10,50,24.0
20,bin#10,10,50,24.0
20,bin#11,10,50,24.0
20,bin#13,9,45,24.0
20,bin#14,9,45,24.0
20,bin#15,10,50,24.0
20,bin#16,6,30,24.0
20,bin#18,7,35,24.0
20,bin#19,3,30,47.99999999999999
20,bin#20,6,30,24.0
20,bin#22,9,45,24.0
20,bin#23,7,35,24.0
20,bin#24,2,30,71.99999999999999
20,bin#26,8,40,24.0
20,bin#28,9,45,24.0
20,bin#29,3,30,47.99999999999999
20,bin#31,1,29,119.99999999999996
20,bin#32,6,30,24.0
20,bin#34,10,50,24.0
20,bin#35,6,30,24.0
20,bin#37,6,30,24.0
20,bin#38,6,30,24.0
20,bin#39,9,45,24.0
