iteration,bin id,filling rate,leveltime since last pick up
5,bin#1,6,50,47.99999999999999
5,bin#4,6,50,47.99999999999999
5,bin#6,7,50,47.99999999999999
5,bin#7,10,50,47.99999999999999
5,bin#10,10,50,47.99999999999999
5,bin#11,10,50,47.99999999999999
5,bin#13,9,50,47.99999999999999
5,bin#14,9,50,47.99999999999999
5,bin#15,10,50,47.99999999999999
5,bin#16,6,50,47.99999999999999
5,bin#18,7,50,47.99999999999999
5,bin#19,3,50,47.99999999999999
5,bin#21,2,50,47.99999999999999
5,bin#22,9,50,47.99999999999999
5,bin#23,7,50,47.99999999999999
5,bin#25,1,50,47.99999999999999
5,bin#26,8,50,47.99999999999999
5,bin#28,9,50,47.99999999999999
5,bin#34,10,50,47.99999999999999
5,bin#35,6,50,47.99999999999999
5,bin#38,6,50,47.99999999999999
5,bin#39,9,50,47.99999999999999
10,bin#2,6,50,71.99999999999999
10,bin#7,10,50,24.0
10,bin#8,4,50,71.99999999999999
10,bin#10,10,50,24.0
10,bin#11,10,50,24.0
10,bin#15,10,50,24.0
10,bin#20,6,50,71.99999999999999
10,bin#27,5,50,71.99999999999999
10,bin#29,3,50,71.99999999999999
10,bin#32,6,50,71.99999999999999
10,bin#34,10,50,24.0
10,bin#37,6,50,71.99999999999999
15,bin#1,6,50,47.99999999999999
15,bin#4,6,50,47.99999999999999
15,bin#5,2,50,95.99999999999997
15,bin#6,7,50,47.99999999999999
15,bin#7,10,50,24.0
15,bin#10,10,50,24.0
15,bin#11,10,50,24.0
15,bin#12,2,50,95.99999999999997
15,bin#13,9,50,47.99999999999999
15,bin#14,9,50,47.99999999999999
15,bin#15,10,50,24.0
15,bin#16,6,50,47.99999999999999
15,bin#18,7,50,47.99999999999999
15,bin#22,9,50,47.99999999999999
15,bin#23,7,50,47.99999999999999
15,bin#24,2,50,95.99999999999997
15,bin#26,8,50,47.99999999999999
15,bin#28,9,50,47.99999999999999
15,bin#34,10,50,24.0
15,bin#35,6,50,47.99999999999999
15,bin#38,6,50,47.99999999999999
15,bin#39,9,50,47.99999999999999
20,bin#2,6,50,47.99999999999999
20,bin#7,10,50,24.0
20,bin#9,2,50,119.99999999999996
20,bin#10,10,50,24.0
20,bin#11,10,50,24.0
20,bin#15,10,50,24.0
20,bin#20,6,50,47.99999999999999
20,bin#27,5,50,47.99999999999999
20,bin#32,6,50,47.99999999999999
20,bin#34,10,50,24.0
20,bin#36,1,50,119.99999999999996
20,bin#37,6,50,47.99999999999999
